Horizon started successfully.
[2022-07-13 14:39:11][e07f053b-e24f-49db-acee-7052df1b3d2a] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:11][ad83e045-6246-42f0-813f-af34be17bc5a] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:12][ad83e045-6246-42f0-813f-af34be17bc5a] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:12][b4e5205d-8508-41a1-af5b-5cec24c205d1] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:12][9678d2e9-f94a-4e22-abb1-18bbcec4af13] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:12][5c25ff07-9697-458c-9c87-337c789ad09d] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][5c25ff07-9697-458c-9c87-337c789ad09d] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][bac2a00c-bffc-47da-b1d6-d34eaecde02a] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:12][eb2dcca2-b6e4-470f-ba87-943fc17186b1] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:12][49c549ba-874b-471c-b01a-fb2373abd660] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][49c549ba-874b-471c-b01a-fb2373abd660] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][5c9263fb-3b5d-4373-9f23-9480cb6f7052] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:12][b4e5205d-8508-41a1-af5b-5cec24c205d1] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:12][ebcae857-bde4-476d-a06a-d0803ce68bfa] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][ebcae857-bde4-476d-a06a-d0803ce68bfa] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][e2bdeef1-7eaf-4cdc-9944-be009db7dd6b] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][bac2a00c-bffc-47da-b1d6-d34eaecde02a] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][4dbeffbe-4406-42e9-80e3-20564ec1591b] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:14][4dbeffbe-4406-42e9-80e3-20564ec1591b] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:14][17d170dc-b905-4a1c-8ac5-78dbc3995884] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][5c9263fb-3b5d-4373-9f23-9480cb6f7052] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][a8840538-9a12-4d20-abac-6c7cbdf35970] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:14][a8840538-9a12-4d20-abac-6c7cbdf35970] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:14][f2a8fdec-8c57-4367-bb5b-4f26e08ff49b] Processing: App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][e2bdeef1-7eaf-4cdc-9944-be009db7dd6b] Processed:  App\Jobs\ProcessApiRequest
[2022-07-13 14:39:13][f5f591cb-2c5c-4d88-9576-db8b88d10211] Processing: App\Jobs\ProcessApiRequest
